"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CFBI","Community First Bancshares, Inc.","10.7","80102511.2","n/a","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cfbi",
"CWBC","Community West Bancshares","10","82798820","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cwbc",
"CGEN","Compugen Ltd.","3.64","208197185.56","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cgen",
"CTG","Computer Task Group, Incorporated","4.59","65547573.03","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ctg",
"CNAT","Conatus Pharmaceuticals Inc.","1.78","58996437.48","n/a","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cnat",
"BBCP","Concrete Pumping Holdings, Inc. ","8.02","55199775.3","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bbcp",
"CDOR","Condor Hospitality Trust, Inc.","8.52","101278373.16","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cdor",
"CWCO","Consolidated Water Co. Ltd.","12.77","191093868.37","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/cwco",
"CNAC","Constellation Alpha Capital Corp.","10.28","190488400","n/a","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cnac",
"CNACU","Constellation Alpha Capital Corp.","10.35","191785500","n/a","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cnacu",
"CNST","Constellation Pharmaceuticals, Inc.","6.69","172500760.23","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cnst",
"CPSS","Consumer Portfolio Services, Inc.","3.65","82451853.85","n/a","1992","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/cpss",
"CORV","Correvio Pharma Corp.","3.59","130077051.58","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/corv",
"CRVS","Corvus Pharmaceuticals, Inc.","3.99","116835523.14","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/crvs",
"ICBK","County Bancorp, Inc.","17.54","117466257","n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/icbk",
"UGLD","Credit Suisse AG","98.46","137502639.18","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ugld",
"USLV","Credit Suisse AG","76.58","261460584.7","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/uslv",
"ZIV","Credit Suisse AG","67","99696000","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ziv",
"CRWS","Crown Crafts, Inc.","5.7676","58238675.5208","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/crws",
"CYRX","CryoPort, Inc.","9.68","292719608.72","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/cyrx",
"CCLP","CSI Compressco LP","2.55","114357062.85","n/a","2011","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/cclp",
"CTIC","CTI BioPharma Corp.","1.08","62627646.96","n/a","1997","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctic",
"CUE","Cue Biopharma, Inc.","5.31","106907642.46","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cue",
"CPIX","Cumberland Pharmaceuticals Inc.","5.65","87731069.95","n/a","2009","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cpix",
"CMLS","Cumulus Media Inc.","11.99","197645989.64","n/a","n/a","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/cmls",
"CUTR","Cutera, Inc.","13.46","187145551.8","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/cutr",
"CYBE","CyberOptics Corporation","19.7","139440343","n/a","1987","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/cybe",
"CYRN","CYREN Ltd.","2.56","137560701.44","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyrn",
"CTSO","Cytosorbents Corporation","7.22","228526147.62","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ctso",
"DJCO","Daily Journal Corp. (S.C.)","214","295479644","n/a","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/djco",
"DZSI","DASAN Zhone Solutions, Inc.","13.04","216140986.16","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/dzsi",
"DSKE","Daseke, Inc.","4.42","284887484.44","n/a","2015","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/dske",
"DAIO","Data I/O Corporation","6.0001","50643406.0427","n/a","1981","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/daio",
"DTSS","Datasea Inc.","3.59","69124897.14","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dtss",
"DFNL","Davis Select Financial ETF","22.04","139954000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dfnl",
"DINT","Davis Select International ETF","16.7168","90270720","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dint",
"DUSA","Davis Select U.S. Equity ETF","21.8001","167860770","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dusa",
"DWLD","Davis Select Worldwide ETF","21.82","192016000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwld",
"DWSN","Dawson Geophysical Company","3.78","86726955.42","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dwsn",
"DDMX","DD3 Acquisition Corp.","9.8","71240610","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ddmx",
"DDMXU","DD3 Acquisition Corp.","9.98","72549111","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ddmxu",
"DFRG","Del Frisco&#39;s Restaurant Group, Inc.","7.9","263242180.5","n/a","2012","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dfrg",
"DERM","Dermira, Inc.","6.22","261991811.4","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/derm",
"DXLG","Destination XL Group, Inc.","2.61","129139717.59","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/dxlg",
"DHXM","DHX Media Ltd.","2.05","276503827.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dhxm",
"DMRC","Digimarc Corporation","19.65","233568624.6","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dmrc",
"APPS","Digital Turbine, Inc.","2.19","170067791.94","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/apps",
"DLHC","DLH Holdings Corp.","4.95","58902495.3","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/dlhc",
"DNBF","DNB Financial Corp","34","146939330","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/dnbf",
"DOGZ","Dogness (International) Corporation","3.82","98967165.7","n/a","2017","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/dogz",
"DOVA","Dova Pharmaceuticals, Inc.","7.98","225068702.04","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/dova",
"DSPG","DSP Group, Inc.","12.46","276565250.08","n/a","1994","Technology","Semiconductors","https://www.nasdaq.com/symbol/dspg",
"DRRX","DURECT Corporation","0.6145","99585696.711","n/a","2000","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/drrx",
"EBMT","Eagle Bancorp Montana, Inc.","17.45","112965925.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ebmt",
"EML","Eastern Company (The)","27.69","173272611.72","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/eml",
"EAST","Eastside Distilling, Inc.","6.02","53495778.84","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/east",
"EVGBC","Eaton Vance NextShares Trust","100.02","62512500","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/evgbc",
"EVFTC","Eaton Vance NextShares Trust II","100.03","52515750","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/evftc",
"EVLMC","Eaton Vance NextShares Trust II","99.96","69972000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/evlmc",
"EEI","Ecology and Environment, Inc.","12","51757620","n/a","1987","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/eei",
"EDAP","EDAP TMS S.A.","2.82","82745269.08","29342294","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/edap",
"EDTX","EdtechX Holdings Acquisition Corp.","9.84","77797500","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/edtx",
"EDTXU","EdtechX Holdings Acquisition Corp.","10.01","79141562.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/edtxu",
"EDUC","Educational Development Corporation","8.06","66074477.56","n/a","n/a","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/educ",
"EGAN","eGain Corporation","7.05","196491135.15","n/a","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/egan",
"EIGR","Eiger BioPharmaceuticals, Inc.","14.3","273066021.8","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/eigr",
"EKSO","Ekso Bionics Holdings, Inc.","1.6969","106297644.2064","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ekso",
"ECOR","electroCore, Inc.","5.99","176405703.66","n/a","2018","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/ecor",
"ESBK","Elmira Savings Bank NY (The)","18.05","54843336.6","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/esbk",
"EMCF","Emclaire Financial Corp","31.876","85756385.312","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/emcf",
"EMKR","EMCORE Corporation","4.54","125623915.64","n/a","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/emkr",
"ELGX","Endologix, Inc.","0.7531","77910952.0991","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/elgx",
"WATT","Energous Corporation","7.58","197797068","n/a","2014","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/watt",
"ENOB","Enochian Biosciences, Inc.","7.25","262260949","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/enob",
"ETTX","Entasis Therapeutics Holdings Inc.","5.66","74144500.1","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ettx",
"ENFC","Entegra Financial Corp.","23.23","160698240.69","n/a","2014","Finance","Banks","https://www.nasdaq.com/symbol/enfc",
"EQ","Equillium, Inc.","9.87","171503449.32","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eq",
"ERYP","Erytech Pharma S.A.","8.5713","25792301.6811","3009147","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/eryp",
"ESCA","Escalade, Incorporated","11.56","166923209.44","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/esca",
"ESQ","Esquire Financial Holdings, Inc.","21.96","163508077.08","n/a","2017","Finance","Commercial Banks","https://www.nasdaq.com/symbol/esq",
"ESSA","ESSA Bancorp, Inc.","15.34","178123186.54","n/a","n/a","Finance","Banks","https://www.nasdaq.com/symbol/essa",
"ESTR","Estre Ambiental, Inc.","1.8","92136117.6","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estr",
"ETON","Eton Pharmaceutcials, Inc.","6.2","109169153.6","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eton",
"EVLO","Evelo Biosciences, Inc.","8.62","273850495.38","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evlo",
"EVK","Ever-Glory International Group, Inc.","3.81","56381134.38","n/a","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/evk",
"EVER","EverQuote, Inc.","5.61","140399186.73","n/a","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/ever",
"MRAM","Everspin Technologies, Inc.","6.89","117778169.86","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/mram",
"EVFM","Evofem Biosciences, Inc.","3.43","88724660.64","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evfm",
"EVGN","Evogene Ltd.","2.1893","56383882.4221","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/evgn",
"ROBO","Exchange Traded Concepts Trust ROBO Global Robotics and Automa","36.16","166336000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/robo",
"EXFO","EXFO Inc","3.28","77601661.04","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/exfo",
"EYPT","EyePoint Pharmaceuticals, Inc.","2.42","229848466.1","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/eypt",
"FMAO","Farmers & Merchants Bancorp, Inc.","31.91","296351073.81","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fmao",
"FAT","FAT Brands Inc.","5.463","62987794.533","n/a","2017","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/fat",
"FBSS","Fauquier Bankshares, Inc.","19.4","73212418.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbss",
"FNHC","FedNat Holding Company","18.07","230834203.08","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/fnhc",
"FENC","Fennec Pharmaceuticals Inc.","6.79","135092685.7","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fenc",
"FFBW","FFBW, Inc.","10.1","66786250","n/a","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ffbw",
"FDBC","Fidelity D & D Bancorp, Inc.","60.99","229287391.74","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fdbc",
"FNJN","Finjan Holdings, Inc.","2.68","73813318.44","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/fnjn",
"FNLC","First Bancorp, Inc (ME)","26.48","287581644.32","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fnlc",
"FRBA","First Bank","11.49","214472305.53","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/frba",
"FBIZ","First Business Financial Services, Inc.","20.96","183383609.28","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbiz",
"FCAP","First Capital, Inc.","44.5","149348408","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fcap",
"FCBP","First Choice Bancorp","21.55","253388843.65","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcbp",
"FCCO","First Community Corporation","20.7","157933506.6","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcco",
"FFNW","First Financial Northwest, Inc.","15.53","166336487.68","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffnw",
"FGBI","First Guaranty Bancshares, Inc.","21.88","192700989","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fgbi",
"INBK","First Internet Bancorp","20.06","203682760.62","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/inbk",
"FNWB","First Northwest Bancorp","15.23","172489162.14","n/a","2015","Finance","Banks","https://www.nasdaq.com/symbol/fnwb",
"FSFG","First Savings Financial Group, Inc.","51.95","119708904.5","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fsfg",
"BICK","First Trust BICK Index Fund","26.96","137496053.92","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bick",
"FBZ","First Trust Brazil AlphaDEX Fund","15.17","131979030.34","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fbz",
"FTHI","First Trust BuyWrite Income ETF","21.04","57317189.04","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fthi",
"DALI","First Trust DorseyWright DALI 1 ETF","18.72","54288037.44","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dali",
"FEMB","First Trust Emerging Markets Local Currency Bond ETF","37.94","77777075.88","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/femb",
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX Fund","34.58","159068069.16","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fems",
"FEUZ","First Trust Eurozone AlphaDEX ETF","36.9785","53618898.957","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/feuz",
"FGM","First Trust Germany AlphaDEX Fund","41.3","138355082.6","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fgm",
"FTGC","First Trust Global Tactical Commodity Strategy Fund","18.68","171918279.12","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftgc",
"FJP","First Trust Japan AlphaDEX Fund","50.39","158728600.78","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fjp",
"FNY","First Trust Mid Cap Growth AlphaDEX Fund","40.37","209924080.74","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fny",
"FNK","First Trust Mid Cap Value AlphaDEX Fund","33.91","54256067.82","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fnk",
"FAD","First Trust Multi Cap Growth AlphaDEX Fund","66.57","166425133.14","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fad",
"FAB","First Trust Multi Cap Value AlphaDEX Fund","52.51","86641605.02","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fab",
"QABA","First Trust NASDAQ ABA Community Bank Index Fund","47.74","226765095.48","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qaba",
"FTXO","First Trust Nasdaq Bank ETF","25.59","174012051.18","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftxo",
"QCLN","First Trust NASDAQ Clean Edge Green Energy Index Fund","19.14","89958038.28","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qcln",
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund","49.89","84813099.78","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qqxt",
"AIRR","First Trust RBA American Industrial Renaissance ETF","23.73","119836547.46","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/airr",
"RFEM","First Trust RiverFront Dynamic Emerging Markets ETF","60.66","103122121.32","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rfem",
"RFEU","First Trust RiverFront Dynamic Europe ETF","56.2804","73164632.5608","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rfeu",
"FYC","First Trust Small Cap Growth AlphaDEX Fund","43.82","282639087.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fyc",
"FYT","First Trust Small Cap Value AlphaDEX Fund","34.7441","60802244.4882","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fyt",
"FCVT","First Trust SSI Strategic Convertible Securities ETF","29.07","159885058.14","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fcvt",
"FDIV","First Trust Strategic Income ETF","48.2885","77261696.577","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdiv",
"FSZ","First Trust Switzerland AlphaDEX Fund","46.6984","147100053.3968","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fsz",
"FUNC","First United Corporation","16.99","120365281.22","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/func",
"FUSB","First US Bancshares, Inc.","8.2702","52075067.5824","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fusb",
"MYFW","First Western Financial, Inc.","13.94","111079774.8","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/myfw",
"SVVC","Firsthand Technology Value Fund, Inc.","13.4","96195518","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/svvc",
"SKOR","FlexShares Credit-Scored US Corporate Bond Index Fund","49.4648","96456409.4648","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/skor",
"MBSD","FlexShares Disciplined Duration MBS Index Fund","23.04","74880023.04","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mbsd",
"ESGG","FlexShares STOXX Global ESG Impact Index Fund","89.11","75743589.11","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esgg",
"QLC","FlexShares US Quality Large Cap Index Fund","32.25","72562532.25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qlc",
"FLXS","Flexsteel Industries, Inc.","24.8","195517669.6","n/a","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/flxs",
"FNCB","FNCB Bancorp Inc.","9.55","160628784.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fncb",
"FOMX","Foamix Pharmaceuticals Ltd.","3.68","199762794.24","n/a","2014","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/fomx",
"FONR","Fonar Corporation","21.63","140273405.16","n/a","1981","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/fonr",
"FBIO","Fortress Biotech, Inc.","1.06","60080275.3","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fbio",
"FMCI","Forum Merger II Corporation","9.78","250905900","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/fmci",
"FWP","Forward Pharma A/S","1.16","13321770.6","11484285","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fwp",
"FRED","Fred&#39;s, Inc.","2.74","103261160.7","n/a","1992","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/fred",
"RAIL","Freightcar America, Inc.","7.16","89225399.68","n/a","2005","Capital Goods","Railroads","https://www.nasdaq.com/symbol/rail",
"FEIM","Frequency Electronics, Inc.","11.382","99361240.524","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/feim",
"FTEO","FRONTEO, Inc.","14.5524","788594.556","54190","2013","n/a","n/a","https://www.nasdaq.com/symbol/fteo",
"FTR","Frontier Communications Corporation","1.98","208987020","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ftr",
"FSBW","FS Bancorp, Inc.","48.86","218039948.7","n/a","2012","Finance","Banks","https://www.nasdaq.com/symbol/fsbw",
"FTD","FTD Companies, Inc.","2.43","68585134.05","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/ftd",
"FCEL","FuelCell Energy, Inc.","0.5374","55835301.104","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/fcel",
"FLGT","Fulgent Genetics, Inc.","4.27","77155372.98","n/a","2016","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/flgt",
"FORK","Fuling Global Inc.","3.73","58860164.65","n/a","2015","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/fork",
"FLL","Full House Resorts, Inc.","2.39","64367883.91","n/a","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/fll",
"FSNN","Fusion Connect, Inc.","1.97","161762550.9","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/fsnn",
"FVCB","FVCBankcorp, Inc.","17.42","238573537.02","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fvcb",
"WILC","G. Willi-Food International,  Ltd.","8.07","106854167.91","n/a","n/a","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/wilc",
"GAIA","Gaia, Inc.","11.36","203345579.04","n/a","1999","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/gaia",
"GALT","Galectin Therapeutics Inc.","4.84","217442246.56","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/galt",
"GLMD","Galmed Pharmaceuticals Ltd.","7.64","160469245.92","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/glmd",
"GMDA","Gamida Cell Ltd.","11.4","276141105.6","n/a","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gmda",
"GPIC","Gaming Partners International Corporation","13","104597584","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/gpic",
"GARS","Garrison Capital Inc.","7.28","116839282.56","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/gars",
"GENC","Gencor Industries Inc.","13.65","198487298.1","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/genc",
"GFN","General Finance Corporation","9.38","284054221.08","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/gfn",
"GEOS","Geospace Technologies Corporation","14.86","202583274.26","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/geos",
"GERN","Geron Corporation","1.1","204982872.6","n/a","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/gern",
"GLAD","Gladstone Capital Corporation","8.32","237159478.4","n/a","2001","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/glad",
"LAND","Gladstone Land Corporation","11.47","187435169.8","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/land",
"ENT","Global Eagle Entertainment Inc.","2.56","234741166.08","n/a","2011","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/ent",
"GWRS","Global Water Resources, Inc.","9.36","200971330.56","n/a","2016","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/gwrs",
"SOCL","Global X Social Media ETF","30.65","127197500","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/socl",
"DNJR","GOLDEN BULL LIMITED","8.7808","129802176","n/a","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/dnjr",
"GPAQ","Gordon Pointe Acquisition Corp.","10.12","158125000","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/gpaq",
"GRVY","GRAVITY Co., Ltd.","39.01","128331314.03","3289703","2005","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grvy",
"GECC","Great Elm Capital Corp.","7.94","84580063.94","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gecc",
"GEC","Great Elm Capital Group, Inc. ","3.35","86785063.15","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gec",
"GCBC","Greene County Bancorp, Inc.","30.79","262879293.06","n/a","n/a","Finance","Banks","https://www.nasdaq.com/symbol/gcbc",
"GLAC","Greenland Acquisition Corporation","9.94","57473080","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/glac",
"GRNQ","Greenpro Capital Corp.","3.6","196975033.2","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/grnq",
"GSUM","Gridsum Holding Inc.","2.24","35551087.04","15871021","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gsum",
"GRIF","Griffin Industrial Realty, Inc.","32.41","163510070.5","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/grif",
